wave,yval,yerrLow,yerrUpp
3.547574758529663,0.08026741826347783,0.00025983706607513013,0.00025983706607513013
3.5588173866271973,0.07457570578487516,0.0002440266233283101,0.0002440266233283101
3.5700249671936035,0.07788427851220274,0.0002624931154074418,0.0002624931154074418
3.5811965465545654,0.07909033773729925,0.00026273094575428183,0.00026273094575428183
3.592332601547241,0.07904585677471516,0.000259100223965989,0.000259100223965989
3.6034343242645264,0.07408146662118477,0.00024902352618502043,0.00024902352618502043
3.614501953125,0.07454814887402965,0.0002507184098849646,0.0002507184098849646
3.625535726547241,0.07271597031466828,0.0002467460887515186,0.0002467460887515186
3.6365344524383545,0.07673021502364938,0.00025891846525691607,0.00025891846525691607
3.6474997997283936,0.07493417350956279,0.00026003766188815655,0.00026003766188815655
3.658433675765991,0.07047184483883714,0.0002727622715650119,0.0002727622715650119
3.669339895248413,0.0727767839780181,0.00024647014426741045,0.00024647014426741045
3.680213689804077,0.07135469824990869,0.00024422458641325945,0.00024422458641325945
3.691054105758667,0.07355183975072228,0.0002532034791577129,0.0002532034791577129
3.701862096786499,0.07274667362625845,0.0002497333867620154,0.0002497333867620154
3.7126381397247314,0.07728170476907033,0.0002579834266149067,0.0002579834266149067
3.7233824729919434,0.07214578412651129,0.0002463711165458583,0.0002463711165458583
3.734095573425293,0.0707148914445734,0.00024038980851967992,0.00024038980851967992
3.7447774410247803,0.06926994855601562,0.00023472480104436453,0.00023472480104436453
3.7554283142089844,0.07399786910736143,0.00025446808363481445,0.00025446808363481445
3.766047477722168,0.07054391668064311,0.0002465555495060463,0.0002465555495060463
3.7766363620758057,0.07330839249617313,0.000246350948862814,0.000246350948862814
3.7871947288513184,0.07135222768426265,0.0002435517270455724,0.0002435517270455724
3.7977232933044434,0.07084403233715754,0.00024373822138969723,0.00024373822138969723
3.8082220554351807,0.06914133636194846,0.00024499227989492763,0.00024499227989492763
3.8186912536621094,0.06988698595994654,0.00024180863610741402,0.00024180863610741402
3.8291308879852295,0.07292209688885733,0.0002531279617161911,0.0002531279617161911
3.8395416736602783,0.06788222567283134,0.00024180515794044967,0.00024180515794044967
3.8499233722686768,0.069082320845317,0.00024754257579080957,0.00024754257579080957
3.860276222229004,0.07012003085241317,0.00024685131125206104,0.00024685131125206104
3.8706002235412598,0.07168233295544904,0.0002472301663592949,0.0002472301663592949
3.8808960914611816,0.06537651304380865,0.000229771324017197,0.000229771324017197
