wave,bestfit,median,+1 sigma,-1 sigma,+2 sigma,-2 sigma,+3 sigma,-3 sigma
2.2536209382150547,7199.146520054703,7239.910569183257,7292.504353028014,7186.15476307795,7343.647690468531,7133.572188010969,7384.520428498662,7089.570158961431
2.293644123036384,7175.550878762152,7213.17220621786,7267.053000128562,7157.726764853231,7322.393685623486,7103.168192190564,7368.051735957341,7053.8398953935975
2.3336783136771238,7182.037519616267,7207.927027299783,7258.150971656735,7155.0079835055885,7310.851433823751,7102.872985083383,7358.5289507917405,7058.482628055819
2.3732278664321793,7201.711603110923,7215.105948545426,7263.349508678349,7166.705926290722,7312.356320240615,7116.679224010145,7356.363532044529,7075.71584745647
2.4132798737974235,7208.614107451357,7212.719327338354,7259.293546488187,7166.846535407381,7306.55236831161,7118.502563561385,7345.75066916098,7078.500496628255
2.453338024797481,7174.042818006837,7177.677252555357,7233.191701207781,7123.683314437524,7288.424367567897,7066.94365761129,7337.600714965746,7021.889580620172
2.492905648066069,7155.165010243423,7167.060803226162,7231.003832134879,7105.440755099699,7295.073260865232,7041.110222054189,7353.1407369546605,6980.073245481814
2.5324747962793124,7155.011649165715,7165.854344838653,7233.324995815117,7100.636818195854,7300.14827828985,7032.185149877201,7358.433408593724,6964.05755567477
2.57253723831343,7170.405012618161,7175.148408821942,7240.450465604825,7112.693150422975,7303.31344229467,7047.305765534525,7358.7997479067,6983.01485569386
2.6121006948605485,7201.167582988471,7200.771392819416,7257.338472254421,7145.973364650269,7312.279450377128,7088.425866902863,7361.807852812103,7034.944743979096
2.6516558479062136,7238.194227553879,7238.011987848823,7287.0243454481915,7191.196469337254,7334.181082466452,7142.830104011811,7375.386640694092,7097.507383880809
2.691693200889917,7153.222945672571,7162.150160423982,7231.192504015582,7095.18728082424,7297.779976635712,7026.186765112936,7357.979384506934,6959.199564472125
2.7312192438293748,7145.912368987743,7152.235383585568,7220.605431815651,7086.01326294155,7287.44457998489,7018.761130550783,7345.860032851933,6950.110045161603
2.7712167327005557,7162.960004571822,7170.277939225874,7234.064495841724,7108.43216593997,7295.9887514131415,7044.546895964489,7351.613751217888,6978.645237749295
2.8101999622885034,7173.301192607915,7181.963722921302,7242.000854014298,7124.064922554037,7300.000250794084,7063.5332660717895,7351.45518609191,7002.538361077946
